run_id,car_id,timestamp,warning_trigger_distance_m,speed_at_warning_mps,braking_reaction_time_ms,stopping_distance_m,time_to_stop_ms,speed_at_stop_mps,min_inter_vehicle_distance_m,collision_occurred,v2v_message_latency_ms,messages_sent,messages_received,message_delivery_rate_pct,position_update_hz,run_duration_s,time_to_collision_at_warning_s,closing_speed_at_warning_mps
1,CAR_B,2026-03-07T23:37:56.176333,29.819371241604752,12.375991684540473,7.021800003712997,58.87471224333846,7005.6048999977065,12.293424302422242,3.3625983839269997,False,1.957009302689725,306,297,97.05882352941177,17.644819514560936,16.82904899999994,2.409453076706068,12.375991684540473
1,CAR_B,2026-03-07T23:43:29.908108,29.669362312069,12.512706471470352,5.4030999963288195,32.26888493217066,7713.263700003154,4.562721753068431,2.422923191148147,False,2.298547036992679,324,317,97.8395061728395,17.570544141182864,18.040128300002834,2.3711386804858527,12.512706471470352
1,CAR_B,2026-03-07T23:48:25.507999,29.582565965186898,12.56375056601639,5.782799998996779,32.058038532305964,7642.124400001194,4.520702816544501,2.5105561855000382,False,2.2572401798132695,336,329,97.91666666666666,17.771961490747092,18.511194899998372,2.3545967272865633,12.56375056601639
1,CAR_B,2026-03-07T23:53:51.218738,29.751791095105705,0.53206122604886,4.85369999660179,0.0259891738091261,20826.02610000322,0.010491100868772764,4.405101937582964,False,0.9715086419643951,556,541,97.3021582733813,16.591651954177074,32.60425560000294,55.91798394339969,0.53206122604886
1,CAR_B,2026-03-08T00:00:35.403011,29.796601023972762,12.565659752256103,6.65169999410864,32.24428155405319,7738.789200004248,4.530518901669753,2.5358203355249103,False,2.3234865200594537,327,317,96.94189602446484,17.447257422400337,18.167582099995343,2.3712723097267476,12.565659752256103
1,CAR_B,2026-03-08T09:52:43.605131,29.59869942886252,10.571038558380915,8.931300006224774,5.05549969543293,6617.725799995242,0.13031046270400132,3.2758308203802913,False,2.1264670187966868,293,284,96.9283276450512,17.2997668637065,16.415540200003306,2.799980273025882,10.571038558380915
1,CAR_B,2026-03-08T10:02:16.548903,29.975303330914862,11.028094673541998,7.194400008302182,15.892472281912053,1806.3464999868302,7.113595470775072,29.580098892692483,False,4.35552486153536,132,128,96.96969696969697,17.184604838828907,7.447401600002195,2.7180854189463908,11.028094673541998
1,CAR_B,2026-03-10T16:41:33.010019,29.74987402033144,0.004305507444748987,10.735400021076202,0.03366549334934522,9082.1041999734,0.00015673598603838288,5.968980758755252,False,0.7215936355829986,973,956,98.25282631038027,16.928732296556532,56.469903099990916,6909.725369680756,0.004305507444748987
1,CAR_B,2026-03-10T23:58:20.660127,29.52474975060589,11.14450257243098,6.728900014422834,249.16631480808303,64742.75430000853,0.0,3.324041721629123,False,0.29081273614690545,1441,1423,98.75086745315753,15.894940071355313,89.52143670001533,2.6492658204093873,11.14450257243098
1,CAR_B,2026-03-11T00:27:21.628662,29.111727063715108,11.151644917348557,8.378800004720688,10.707217936913574,5529.02349998476,0.0022769455558348827,3.136529774138186,False,2.309603967528412,564,551,97.69503546099291,17.71440810676352,31.102465100004338,2.6105321035129214,11.151644917348557
1,CAR_B,2026-03-31T21:45:34.492062,29.626801849941497,10.449961226974912,15.139999988605268,11.891693020229015,6160.887600010028,0.003484398507781022,3.888007998347087,False,3.367544334625529,333,320,96.09609609609609,15.692711136830377,20.389838300005067,2.8351111747156175,10.449961226974912
